# "CreateBonds.num_bonds" "Frame" "Timestep"
1792 0 0 
811 1 100 
1003 2 200 
1010 3 300 
977 4 400 
946 5 500 
949 6 600 
966 7 700 
937 8 800 
945 9 900 
921 10 1000 
919 11 1100 
930 12 1200 
910 13 1300 
949 14 1400 
943 15 1500 
954 16 1600 
935 17 1700 
935 18 1800 
948 19 1900 
928 20 2000 
940 21 2100 
921 22 2200 
937 23 2300 
916 24 2400 
930 25 2500 
938 26 2600 
930 27 2700 
935 28 2800 
934 29 2900 
923 30 3000 
920 31 3100 
926 32 3200 
928 33 3300 
935 34 3400 
921 35 3500 
908 36 3600 
914 37 3700 
944 38 3800 
928 39 3900 
917 40 4000 
902 41 4100 
917 42 4200 
936 43 4300 
912 44 4400 
934 45 4500 
921 46 4600 
914 47 4700 
934 48 4800 
933 49 4900 
937 50 5000 
945 51 5100 
930 52 5200 
895 53 5300 
917 54 5400 
934 55 5500 
934 56 5600 
923 57 5700 
937 58 5800 
927 59 5900 
934 60 6000 
928 61 6100 
920 62 6200 
899 63 6300 
938 64 6400 
912 65 6500 
919 66 6600 
911 67 6700 
921 68 6800 
916 69 6900 
921 70 7000 
902 71 7100 
929 72 7200 
907 73 7300 
923 74 7400 
915 75 7500 
925 76 7600 
914 77 7700 
920 78 7800 
901 79 7900 
924 80 8000 
899 81 8100 
927 82 8200 
935 83 8300 
909 84 8400 
921 85 8500 
911 86 8600 
930 87 8700 
893 88 8800 
918 89 8900 
897 90 9000 
876 91 9100 
879 92 9200 
870 93 9300 
881 94 9400 
904 95 9500 
883 96 9600 
890 97 9700 
889 98 9800 
907 99 9900 
893 100 10000 
874 101 10100 
893 102 10200 
899 103 10300 
890 104 10400 
880 105 10500 
907 106 10600 
899 107 10700 
895 108 10800 
882 109 10900 
868 110 11000 
868 111 11100 
862 112 11200 
880 113 11300 
878 114 11400 
886 115 11500 
878 116 11600 
862 117 11700 
875 118 11800 
882 119 11900 
848 120 12000 
873 121 12100 
854 122 12200 
860 123 12300 
864 124 12400 
860 125 12500 
853 126 12600 
876 127 12700 
864 128 12800 
839 129 12900 
861 130 13000 
860 131 13100 
842 132 13200 
868 133 13300 
823 134 13400 
838 135 13500 
848 136 13600 
829 137 13700 
846 138 13800 
